,noc,name,lnk,dis,Date of Birth,Age,Gender,Sport Class,Languages spoken,Birth Country,Debut,Ambition,Hero,Influence,Philosophy,Award,Injuries
2055,NGR,KOLEOSHO Ahmed,../../../en/results/table-tennis/athlete-profile-n1638584-koleosho-ahmed.htm,TTE, 20 Jul 1986,35.0, Male, 3,English,"
 Nigeria","2013 for Nigeria, African Championships in Sharm El Sheikh, Egypt (Athlete, 09 Oct 2016)",,"Swedish table tennis player Jan-Ove Waldner. (Athlete, 09 Oct 2016)","His mother. (Athlete, 09 Oct 2016)","""Nothing is impossible."" (Athlete, 09 Oct 2016)",,
2056,RPC,KOLMAKOV Mikhail,../../../en/results/triathlon/athlete-profile-n1329075-kolmakov-mikhail.htm,TRI, 20 Nov 1979,41.0, Male, PTS4,Russian,"
 Turkmenistan",,,,,,"In 2004 he received the Order of Courage from the president of the Russian Federation. (Para Triathlon Russia Facebook page, 25 Jul 2021)",
2057,RPC,KOLOSOV Vladislav,../../../en/results/equestrian/athlete-profile-n1383085-kolosov-vladislav.htm,EQU, 21 Feb 1960,61.0, Male, GIV,Russian,"
 Russian Federation","1986 for Soviet Union, in Pardubice, Czech Republic (Athlete, 17 Aug 2017)","To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 03 Jun 2021)",,"His first coach Rostislav Makarov. (Athlete, 17 Aug 2017)",,"He holds the title of Master of Sport in the Russian Federation. (minsport.gov.ru, 12 Apr 2021)","He had surgery on his spine in January 2019. (prokoni.ru, 03 Sep 2019)"
2058,UKR,KOLPAKCHY Alisa,../../../en/results/triathlon/athlete-profile-n1323627-kolpakchy-alisa.htm,TRI, 15 Dec 1996,24.0, Female, PTS5,"Russian, Ukrainian","
 Ukraine","2015 for Ukraine, European Championships in Geneva, Switzerland (Athlete, 31 Aug 2016)","To win medals at the Paralympic Games, and European and world championships. (Athlete, 22 Aug 2021)","US swimmer Michael Phelps, Jamaican sprinter Usain Bolt, British triathletes Alistair Brownlee and Jonny Brownlee. (Athlete, 31 Aug 2016)",,,"In 2016 she received the title of Master of Sport of International Class in Ukraine. (Athlete, 31 Aug 2016)",
2059,CRO,KOMAR Davor,../../../en/results/boccia/athlete-profile-n1323520-komar-davor.htm,BOC, 12 Oct 1970,50.0, Male, BC4,Croatian,"
 Croatia",,,,,,"He was named Para Athlete of the Year in Pula, Croatia, every year between 2012 and 2018. (istrijana.hr, 01 Jan 2021)",
2060,UKR,KOMAROV Oleksandr,../../../en/results/swimming/athlete-profile-n1346910-komarov-oleksandr.htm,SWM, 10 Jun 1988,33.0, Male, S6,"Russian, Ukrainian","
 Ukraine","2009 for Ukraine, European Championships in Reykjavik, Iceland (Athlete, 18 Jul 2014)","To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 16 Mar 2021)","US swimmer Michael Phelps. (Athlete, 26 Mar 2015)","Coach Vasyl Lysenko. (Athlete, 13 Aug 2018)","""Don't give up, and win."" (Athlete, 13 Aug 2018)","In 2020 he received the title of Honorary Citizen of Mariupol in Ukraine. (mariupolrada.gov.ua, 09 Oct 2020)",
2061,JPN,KOMATSU Saki,../../../en/results/canoe-sprint/athlete-profile-n1602513-komatsu-saki.htm,CSP, 1 Oct 1994,26.0, Female, VL2,Japanese,"
 Japan","2021 for Japan (kochinews.co.jp, 15 May 2021)","To win gold at the 2020 Paralympic Games in Tokyo. (sunsuntv.co.jp, 12 Aug 2021)",,,,,
2062,NZL,KONEFERENISI Barney,../../../en/results/wheelchair-rugby/athlete-profile-n1906192-koneferenisi-barney.htm,WRU, 9 Mar 1994,27.0, Male, 3.5,English,,,"To compete at the 2020 Paralympic Games in Tokyo. (tvnz.co.nz, 16 Jul 2021; stuff.co.nz, 16 Jul 2021)",,,,"In 2012 he received the Inspiration Award as part of the Prime Minister's Pacific Youth Awards in New Zealand. (rnz.co.nz, 10 Jan 2013; beehive.govt.nz. 14 Nov 2012)",
2063,FRA,KONG Bopha,../../../en/results/taekwondo/athlete-profile-n1638467-kong-bopha.htm,TKW, 25 Apr 1981,40.0, Male, K43,French,"
 Vietnam","2009 for France, World Championships in Baku, Azerbaijan (france-paralympique.fr, 30 Jan 2019)","To compete at the 2020 Paralympic Games in Tokyo and to win a gold medal at the 2024 Paralympic Games in Paris. (worldtaekwondo.org, 25 Apr 2017; lemag.seinesaintdenis.fr, 17 Nov 2020)",,,"""The one that wins is the best of the best."" (paralympic.org, 25 Apr 2018)",,"He considered quitting Para taekwondo after suffering a knee injury early in his career. (lemag.seinesaintdenis.fr, 17 Nov 2020)"
2064,THA,KONJEN Saichon,../../../en/results/athletics/athlete-profile-n1726792-konjen-saichon.htm,ATH, 30 Mar 1983,38.0, Male, T54,"English, Thai","
 Thailand","1999 for Thailand (Athlete, 14 Jul 2017)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook page, 09 Feb 2017)",,,,"He received a Top Talk-About Sportsman award at the 2015 MThai Top Talk-About Awards in Nonthaburi, Thailand. The ceremony honoured the people, movies and television shows that were most talked about on the internet in 2015 in Thailand. (mono.co.th, 03 Dec 2015)",
2065,HUN,KONKOLY Zsofia,../../../en/results/swimming/athlete-profile-n1728680-konkoly-zsofia.htm,SWM, 12 Mar 2002,19.0, Female," S9,SM9",Hungarian,"
 Hungary","2015 for Hungary, in Berlin, Germany (Athlete, 13 Aug 2018)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (szeretlekmagyarorszag.hu, 13 Nov 2016)","Hungarian Para swimmer Tamas Sors. (Athlete, 12 Sep 2019)","Her family. (Athlete, 12 Sep 2019)","""Success is walking from failure to failure without losing your enthusiasm."" (kozossegekpecsert.hu, 01 Nov 2018)","In September 2016 she was presented with the Bronze Cross of Merit in Hungary. (parlament.hu, 23 Sep 2016)",
2066,GRE,KONSTANTINIDIS Athanasios,../../../en/results/athletics/athlete-profile-n1720702-konstantinidis-athanasios.htm,ATH, 29 Apr 1970,51.0, Male, F32,Greek,,,,,,,"In 2019 he received a sporting achievement award at the 20th anniversary awards ceremony of the Greek Paralympic Committee. (amna.gr, 06 Feb 2019)",
2067,KOR,KOO Dong Sub,../../../en/results/archery/athlete-profile-n1696490-koo-dong-sub.htm,ARC, 5 Jul 1981,40.0, Male, W1,Korean,"
 Republic of Korea","2013 (Athlete, 28 Aug 2015)","To win gold at the Paralympic Games. (wbcb.co.kr, 23 Oct 2014)",,,,,
2068,UKR,KOPIIKA Maryna,../../../en/results/powerlifting/athlete-profile-n1325766-kopiika-maryna.htm,PWL, 12 Jan 1991,30.0, Female, PWL,"Russian, Ukrainian","
 Ukraine","2010 for Ukraine, World Championships in Kuala Lumpur, Malaysia (Athlete, 28 Aug 2016)",,,"Coach Oleksandr Alfyorov. (Athlete, 11 Jul 2019)",,"She has received the title of Master of Sport of International Class in Ukraine. (dsmsu.gov.ua, 31 Dec 2020)",
2069,EGY,KORANY Fatma,../../../en/results/powerlifting/athlete-profile-n1457929-korany-fatma.htm,PWL, 1 Jul 2000,21.0, Female, PWL,"Arabic, English","
 Egypt","2017 for Egypt, in Dubai, United Arab Emirates (Athlete, 12 Jul 2019)","To win gold medals at the 2020 Paralympic Games in Tokyo and the 2024 Paralympic Games in Paris. (Athlete, 25 Aug 2021)","Egyptian Para powerlifters Sherif Osman and Fatma Omar, coach Shabaan Yehia El Desouky. (Athlete, 25 Aug 2021, 28 Apr 2021)","Her coach Shabaan Yehia El Desouky. (Athlete, 25 Aug 2021)","""Determination is the most important thing in the world."" (Allianz Egypt YouTube channel, 28 Dec 2018)",,
2070,TUR,KORKMAZ Bulent,../../../en/results/archery/athlete-profile-n1729535-korkmaz-bulent.htm,ARC, 3 May 1975,46.0, Male, ST,,"
 Turkey","2013 for Turkey (Athlete, 14 Jul 2016)",,,,,,
2071,TUR,KORKMAZ Mihriban,../../../en/results/athletics/athlete-profile-n1727536-korkmaz-mihriban.htm,ATH, 10 Mar 1996,25.0, Female, F20,Turkish,"
 Turkey",,"To compete at the 2020 Paralympic Games in Tokyo. (hurriyet.com.tr, 08 Jun 2018)",,,,,
2072,TUR,KORKUT Kubra,../../../en/results/table-tennis/athlete-profile-n1729584-korkut-kubra.htm,TTE, 20 Jun 1994,27.0, Female, 7,Turkish,"
 Turkey","2007 for Turkey, in Wuppertal, Germany (Athlete, 15 May 2016)","To compete at the 2020 Paralympic Games in Tokyo. (haberturk.com, 14 Jul 2020)",,"Her coach. (Athlete, 15 May 2016)","""Big fish eat small fish."" (Athlete, 15 May 2016)",,
2073,NOR,KORNELIUSSEN Nora,../../../en/results/table-tennis/athlete-profile-n1630045-korneliussen-nora.htm,TTE, 28 Apr 1999,22.0, Female, 7,Norwegian,"
 Norway",,,,,,,
2074,GER,KORNHASS Nikolai,../../../en/results/judo/athlete-profile-n1413375-kornhass-nikolai.htm,JUD, 28 Mar 1993,28.0, Male, B2,"English, German, Slovene","
 Germany","2011 for Germany, World Games in Antalya, Turkey (Athlete, 01 Apr 2016)","To compete at the 2020 Paralympic Games in Tokyo. (teamdeutschland-paralympics.de, 13 Apr 2021)",,,,,
2075,POL,KORNOBYS Lucyna,../../../en/results/athletics/athlete-profile-n1377368-kornobys-lucyna.htm,ATH, 17 Feb 1978,43.0, Female, F34,Polish,"
 Poland","2010 for Poland, in Croatia (Athlete, 16 Jul 2017)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (tvp.pl, 18 May 2020)","Polish shot putter Tomasz Majewski. (Athlete, 16 Jul 2017)","Her family. (Athlete, 16 Jul 2017)","""As long as you fight, you are the winner."" (parasportowcy.pl, 21 May 2019)","She received the 2019 Sport Without Barrier Award during the annual Sport Champions Gala in Poland. The award is given to the Para Athlete of the Year. (tvp.pl, 11 Jan 2020)","She competed with inflammation in her right elbow at the 2019 World Championships in Dubai, United Arab Emirates. Despite the injury, she went on to win gold in the F33 shot put. (gazetawroclawska.pl, 19 Nov 2019)"
2076,RPC,KOROBEYNIKOV Igor,../../../en/results/canoe-sprint/athlete-profile-n1303295-korobeynikov-igor.htm,CSP, 27 Jul 1978,43.0, Male, VL2,Russian,,,,,,,"He has received the title of Master of Sport of International Class in the Russian Federation. (minsport.gov.ru, 25 Dec 2020)",
2077,NED,KORVER Cher,../../../en/results/wheelchair-basketball/athlete-profile-n1708645-korver-cher.htm,WBK, 11 Aug 1976,45.0, Female, 2.5,"Dutch, English","
 Netherlands","1998 for Netherlands, World Championships in Sydney, Australia (Athlete, 13 Aug 2016)",,,,"""What doesn't kill you makes you stronger."" (sitness.nl, 2018)","In 2014 she received the Rob Verheuvel Award for her contribution to wheelchair basketball in the Netherlands. (ermelovannu.nl, 30 Mar 2014)",
2078,JPN,KOSE Tomohiro,../../../en/results/powerlifting/athlete-profile-n1709497-kose-tomohiro.htm,PWL, 23 Mar 1993,28.0, Male, PWL,Japanese,"
 Japan","2018 for Japan, in Kitakyushu, Japan (masports.jp, 09 Sep 2018)","To compete at the 2020 and 2024 Paralympic Games. (aijinkai.or.jp, 04 Aug 2018)",,,,,
2079,CZE,KOSEK Jakub,../../../en/results/shooting/athlete-profile-n1443533-kosek-jakub.htm,SHO, 7 Jan 1985,36.0, Male, SH1,Czech,"
 Czech Republic",,"To compete at the 2024 Paralympic Games in Paris. (Athlete, 27 Aug 2021)","Czech sport shooter David Kostelecky. (Athlete, 27 Aug 2021)","Czech Para sport shooter Frantisek Konecny. (Athlete, 27 Aug 2021)",,"He was named the 2020 Para Athlete of the Year in Olomouc, Czech Republic. (denik.cz, 25 Feb 2021)","In 2020 he fractured his left hand in a quad biking accident and was out of action for three months. (Athlete, 27 Aug 2021)"
2080,POL,KOSEWICZ Piotr,../../../en/results/athletics/athlete-profile-n1377341-kosewicz-piotr.htm,ATH, 31 May 1974,47.0, Male, F52,"English, Polish","
 Poland","2017 for Poland, Grand Prix in Nottwil, Switzerland (Athlete, 07 Nov 2019)","To win a medal at the 2020 Paralympic Games in Tokyo. ""It's the only medal missing in my collection."" (radiowroclaw.pl, 07 Feb 2021; tvp.pl, 19 Feb 2020)","Polish discus thrower Piotr Malachowski. (Athlete, 07 Nov 2019)","His wife. (Athlete, 07 Nov 2019)","""Fight and don't stop."" (tvp.pl, 19 Feb 2020)","In 2019 he received a Merit Award from Zgorzelec County Council in Poland in recognition of his sporting achievements. (zgorzelec.naszemiasto.pl, 11 Feb 2019)",
2081,UKR,KOSMINA Natalya,../../../en/results/table-tennis/athlete-profile-n1351236-kosmina-natalya.htm,TTE, 8 Nov 1982,38.0, Female, 11,"Russian, Ukrainian","
 Ukraine","1999 for Ukraine, European Championships in Piest'any, Slovakia (Athlete, 27 Jul 2016)",,"Chinese table tennis player Ding Ning. (Athlete, 20 Apr 2021)","Coach Oleksandr Kasparov. (Athlete, 20 Apr 2021)",,"She received the Order of Merit [third class] in Ukraine in recognition of her performance at the 2016 Paralympic Games in Rio de Janeiro. (president.gov.ua, 04 Oct 2016)",
2082,POL,KOSSAKOWSKI Aleksander,../../../en/results/athletics/athlete-profile-n1377409-kossakowski-aleksander.htm,ATH, 15 Mar 1994,27.0, Male, T11,"English, Polish","
 Poland","2015 for Poland (Athlete, 06 Nov 2019)","To win a medal at the 2020 Paralympic Games in Tokyo. (Odkryj Swoje Emocje on Spotify, 01 Nov 2020; abczdrowie.pl, 15 Feb 2020)","Polish middle-distance runner Marcin Lewandowski. (Athlete, 06 Nov 2019)","His father. (Athlete, 06 Nov 2019)","""Don't give up."" (Athlete, 16 Jul 2017)","He was named the 2012 Best Para Athlete for the Swietokrzyskie Voivodeship province in Poland. (kielce.pl, 02 Feb 2013)","In 2020 he struggled with an Achilles injury that affected his training. (Odkryj Swoje Emocje on Spotify, 01 Nov 2020; Instagram profile, 13 May 2020)"
2083,GRE,KOSTAKIS Ioannis,../../../en/results/swimming/athlete-profile-n1708807-kostakis-ioannis.htm,SWM, 16 Dec 1971,49.0, Male," SM3,S3,SB2","English, Greek","
 Greece",,"To compete at the 2020 Paralympic Games in Tokyo. (oneman.gr, 02 Mar 2017; swimming.gr, 03 Dec 2020)","Dutch swimmer Pieter van den Hoogenband. (Athlete, 12 Sep 2019)","Coach Panagiotis Paipetis. (Athlete, 12 Sep 2019)",,"In 2015 he received a sporting achievement award from the Greek Paralympic Committee. (paralympic.gr, 18 Dec 2015)","He was involved in a car accident only a few hours after winning a silver medal in the S3 100m freestyle at the 2011 European Championships in Berlin, Germany. He fractured both of his legs and required two operations. (sport24.gr, 11 Sep 2016)"
2084,CZE,KOSTAL Vaclav,../../../en/results/archery/athlete-profile-n1463055-kostal-vaclav.htm,ARC, 2 Jun 1970,51.0, Male, ST,"Czech, Russian, Slovak","
 Czech Republic",,,"Czech archer Jaromir Termer. (Athlete, 21 Aug 2021)","His wife Eva. (Athlete, 21 Aug 2021)",,,
2085,RPC,KOSTIN Aleksandr,../../../en/results/athletics/athlete-profile-n1363865-kostin-aleksandr.htm,ATH, 4 Jul 1995,26.0, Male, T12,Russian,"
 Russian Federation","2015 for Russia, in Seoul, Korea (Athlete, 29 Sep 2015)","To compete at the 2020 Paralympic Games in Tokyo. (Athlete, 04 Mar 2021)",,"Coach Vladimir Zamyatin. (Athlete, 29 Sep 2015)",,"He was named among the ten Best Athletes of the Year for 2019 in the Altai region of the Russian Federation. (barnaul.org, 25 Dec 2019)",
2086,JPN,KOSUDA Junta,../../../en/results/athletics/athlete-profile-n1727716-kosuda-junta.htm,ATH, 5 Oct 1990,30.0, Male, T63,Japanese,"
 Japan",,"To win a medal in Para athletics at the 2020 Paralympic Games in Tokyo, and in Para snowboard at the 2022 Paralympic Winter Games in Beijing. (sjgather.com, 22 Jan 2020; 39mag.benesse.ne.jp, 08 Apr 2020)",,"Japanese Para athlete Atsushi Yamamoto. (number.bunshun.jp, 08 Jul 2020)",,,
2087,FIN,KOTAJA Amanda,../../../en/results/athletics/athlete-profile-n1301125-kotaja-amanda.htm,ATH, 3 Jan 1995,26.0, Female, T54,"English, Finnish","
 Finland","2011 for Finland, in Switzerland (Athlete, 17 Oct 2011)","To compete at the 2020 Paralympic Games in Tokyo. Outside of sport, she hopes to pursue a career as a psychologist. (hs.fi, 20 Jun 2018; aamulehti.fi, 19 May 2020)","Finnish wheelchair racer Leo-Pekka Tahti. (Athlete, 17 Oct 2011)",,"""Big races are great. There are so many different people there, united by the same passion. The highlights of my life have been when I have been able to give an insecure or shy child or adult some kind of glimpse of light, inspiration, or faith in themselves and in their lives. Those moments are great and valuable. I want to be able to give hope to those who have none."" (cp-liitto.fi, 29 Jun 2020)","She was named Sportsperson of the Year at the 2015 Satakunta Sports Gala in Finland. (yleisurheilu.fi, 31 Jan 2016)","In mid-2016 she was sidelined for one month after undergoing surgery to remove a kidney stone. (ess.fi, 21 Jan 2017)"
2088,POL,KOTKOWSKI Michal,../../../en/results/athletics/athlete-profile-n1376962-kotkowski-michal.htm,ATH, 8 Dec 1998,22.0, Male, T37,"English, Polish","
 Poland","2016 for Poland, Grand Prix in Berlin, Germany (start.org.pl, 21 Jul 2016)","To compete at the 2020 Paralympic Games in Tokyo. (Porozmawiajmy O Sporcie [Let's Talk About Sport] YouTube channel, 18 Feb 2021)","Polish middle-distance runner Adam Kszczot. (MrMichalPol YouTube channel, 23 Aug 2018)","Coach Andrzej Wrobel. (Athlete, 16 Jul 2017)",,,
2089,POL,KOTLOWSKA Faustyna,../../../en/results/athletics/athlete-profile-n1725886-kotlowska-faustyna.htm,ATH, 24 Mar 2001,20.0, Female, F64,Polish,,,"To compete at the 2020 Paralympic Games in Tokyo. (Pelnosprawni, TVP, 16 Jan 2021)",,,"""I want to be myself, I want to make history by myself. I don't want to follow in anyone else's footsteps, or to model myself on anyone else. I hope that one day I will go down in history."" (Pelnosprawni, TVP, 16 Jan 2021)","She was named the 2020 Para Athlete of the Year in Poland at the Polish Sports Personality of the Year Awards. (polsatsport.pl, 09 Jan 2021; Pelnosprawni, TVP, 16 Jan 2021)",
2090,RPC,KOTUKOV Nikita,../../../en/results/athletics/athlete-profile-n1353691-kotukov-nikita.htm,ATH, 5 May 1999,22.0, Male, T47,Russian,"
 Russian Federation",,"To win gold at the Paralympic Games. (Athlete, 24 Oct 2019)","Cuban high jumper Javier Sotomayor, South African long jumper Luvo Manyonga, Cuban long jumper Juan Miguel Echevarria. (Athlete, 24 Oct 2019)","His father, and his coach. (Athlete, 24 Oct 2019)",,"He received the Overcoming Award at the 2019 Best Male Para Athlete of the Year in the Ulyanovsk region of the Russian Federation. (73online.ru, 24 Dec 2019)",
2091,UKR,KOTYK Dariia,../../../en/results/rowing/athlete-profile-n1314405-kotyk-dariia.htm,ROW, 13 Jun 2004,17.0, Female, PR3-PI,"Russian, Ukrainian","
 Ukraine",,,,"Her first coach Yury Kucherenko. (Athlete, 23 Aug 2021)",,"In 2019 she was named among the 10 Best Para Athletes of the Year in Cherkasy region of Ukraine. (invasportcherkasy.in.ua, 28 Dec 2019)",
2092,FRA,KOUAKOU Charles-Antoine,../../../en/results/athletics/athlete-profile-n1358122-kouakou-charles-antoine.htm,ATH, 14 Jul 1998,23.0, Male, T20,French,,,"To compete at the 2020 and 2024 Paralympic Games. (lemag.seinesaintdenis.fr, 03 Jul 2017)",,,,,
2093,GRE,KOULOUMOGLOU Paschalis,../../../en/results/powerlifting/athlete-profile-n1717102-kouloumoglou-paschalis.htm,PWL, 3 Nov 1994,26.0, Male, PWL,"English, Greek","
 Greece","2013 for Greece, in Dubai, United Arab Emirates (Athlete, 05 Dec 2017)","To win a medal at the Paralympic Games. (Athlete, 03 Jun 2019)","Egyptian powerlifter Sherif Osman. (Athlete, 05 Dec 2017)","His family. (Athlete, 03 Jun 2019)","""Never give up."" (Athlete, 03 Jun 2019)","In 2015 he received a sporting achievement award from the Greek Paralympic Committee. (tennis24.gr, 16 Dec 2015)","He had surgery on his elbows in 2016 and 2018. (Athlete, 03 Jun 2019)"
2094,UKR,KOVAL Maksym,../../../en/results/athletics/athlete-profile-n1311022-koval-maksym.htm,ATH, 26 Dec 1996,24.0, Male, F20,,,,,,,,"He was named one of the 10 Para Athletes of the Year for 2018 in the Cherkasy region of Ukraine. (invasportcherkasy.in.ua, 28 Dec 2018)",
2095,UKR,KOVALCHUK Vasyl,../../../en/results/shooting/athlete-profile-n1378459-kovalchuk-vasyl.htm,SHO, 18 Apr 1973,48.0, Male, SH2,"Russian, Ukrainian","
 Ukraine","2008 for Ukraine, World Cup in France (Athlete, 26 Jun 2014)","To win gold at the 2020 Paralympic Games in Tokyo. (Athlete, 08 Apr 2020)","US boxers Mike Tyson and Muhammad Ali, Russian and Soviet wrestler Ivan Poddubny. (Athlete, 27 Aug 2016)","President of the National Paralympic Committee of Ukraine Valery Sushkevich, and coach Iryna Vynogradova. (Athlete, 27 Aug 2016)","""Nothing is impossible."" (Athlete, 15 May 2019)","In recognition of his achievements at the Paralympic Games in 2012 and 2016, he received the Orders for Merit [third and second grade] in Ukraine. (president.gov.ua, 04 Oct 2016; zakon.rada.gov.ua, 17 Sep 2012)",
2096,JPN,KOZAI Hiroaki,../../../en/results/wheelchair-basketball/athlete-profile-n1716617-kozai-hiroaki.htm,WBK, 14 Jul 1988,33.0, Male, 3.5,"English, Japanese","
 Japan",,"To win a gold medal at the 2020 Paralympic Games in Tokyo. (2020.yahoo.co.jp, 15 Oct 2019)","Japanese baseball player Hideki Matsui, Canadian wheelchair basketball player Patrick Anderson. (1242.com, 31 Aug 2017; Athlete, 11 Aug 2016)","Coaches Shimpei Oikawa and Michael Frogley. (hiroaki-kozai.com, 19 Jan 2020; nippon.com, 29 Oct 2018)","""Talent wins games, but teamwork and intelligence wins the championship."" (Athlete, 11 Aug 2016)","He was named Most Valuable Player at the 2018 World Challenge Cup in Japan. (hiroaki-kozai.com, 19 Jan 2020)",
2097,POL,KOZAKOWSKA Roza,../../../en/results/athletics/athlete-profile-n1428726-kozakowska-roza.htm,ATH, 26 Aug 1989,32.0, Female, F32,Polish,,,"To win a medal at the 2020 Paralympic Games in Tokyo. (tvp.pl, 08 Sep 2020)",,,"""You can rise after every fall and every failure, just don't give up."" (tvp.pl, 08 Sep 2020)",,"At the 2019 World Championships in Dubai, United Arab Emirates her performance was affected by endometriosis. (onet.pl, 25 Nov 2020)"
2098,POL,KOZDRYK Justyna,../../../en/results/powerlifting/athlete-profile-n1720597-kozdryk-justyna.htm,PWL, 4 Mar 1980,41.0, Female, PWL,"English, Polish","
 Poland",,"To compete at the 2020 Paralympic Games in Tokyo. (tvp.pl, 28 Dec 2019)","Polish weightlifter and mixed martial artist Szymon Kolecki. (radiozet.pl, 04 Aug 2017)","Her family. (tvp.pl, 28 Dec 2019)",,"In 2008 she was honoured with the Gold Cross of Merit by the president of Poland. (sw.gov.pl, 18 Mar 2014)",
2099,RPC,KOZHEMYAKIN Andrey,../../../en/results/shooting/athlete-profile-n1346735-kozhemyakin-andrey.htm,SHO, 3 Aug 1975,46.0, Male, SH1,"English, Russian","
 Russian Federation","2006 for Russia, World Championships in Sargans, Switzerland (Athlete, 30 Jun 2014)","To win a medal at the Paralympic Games. (Athlete, 11 Mar 2020)","Russian volleyball player Sergey Tetyukhin. (Athlete, 30 Jun 2014)","His family. (Athlete, 30 Jun 2014)",,"In 2019 he received the title of Master of Sport of International Class in the Russian Federation. (minsport.gov.ru, 30 Dec 2019; 31.mchs.gov.ru, 12 Nov 2019)",
2100,POL,KOZIKOWSKA Katarzyna,../../../en/results/canoe-sprint/athlete-profile-n1725971-kozikowska-katarzyna.htm,CSP, 16 Jul 1994,27.0, Female, KL3,"English, Polish","
 Poland",,"To win gold at the 2020 Paralympic Games in Tokyo. (interia.pl, 03 Apr 2020)","Austrian sprint paddler Viktoria Schwarz. (parasportowcy.pl, 28 Jul 2018)","Her family. (magazynsportowiec.pl, 20 Jun 2019)","""Nothing is impossible."" (Facebook page, 13 Mar 2020)",,
2101,RPC,KOZMIN Dmitry,../../../en/results/boccia/athlete-profile-n1302741-kozmin-dmitry.htm,BOC, 28 Feb 1999,22.0, Male, BC2,Russian,,,,,,,"In 2020 he received the title of Master of Sport of International Class in the Russian Federation. (bocciarus.ru, 02 Aug 2020; minsport.gov.ru, 30 Jul 2020)",
2102,CAN,KOZUN Julie,../../../en/results/sitting-volleyball/athlete-profile-n1553442-kozun-julie.htm,VBS, 23 Dec 1999,21.0, Female, VS1,English,"
 Canada",,"To win a medal at the 2020 Paralympic Games in Tokyo. Outside of sitting volleyball, she would like to use her degree in agribusiness to become a chemical sales representative. (Athlete, 24 Aug 2021; paralympic.ca, 01 Feb 2020; worldparavolley.org, 01 Jan 2018)",,"Coaches Nicole Ban and Christine Biggs. (Athlete, 24 Aug 2021)","""Hit ball hard."" (Athlete, 24 Aug 2021)",,"She fractured her right femur at age six in a tobogganing accident on vacation. (Athlete, 24 Aug 2021)"
2103,ALG,KRAI Abdelkrim,../../../en/results/athletics/athlete-profile-n1362678-krai-abdelkrim.htm,ATH, 27 Feb 1997,24.0, Male, T38,"Arabic, French","
 Algeria",,"To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 01 Jan 2019)","Algerian runner Noureddine Morceli. (Athlete, 25 Aug 2021)",,"""Try to be the best."" (Instagram profile, 01 Jan 2019)",,
2104,UKR,KRAINYK Vasyl,../../../en/results/swimming/athlete-profile-n1346880-krainyk-vasyl.htm,SWM, 7 Jun 1996,25.0, Male," S14,SB14,SM14","Russian, Ukrainian","
 Ukraine","2018 for Ukraine (Athlete, 13 Aug 2018)","To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 09 Mar 2020)",,"His family. (Athlete, 29 Aug 2019)","""Discipline."" (Athlete, 13 Aug 2018)","He has received the title of Master of Sport of International Class in Ukraine. (dsmsu.gov.ua, 31 Dec 2020)",
2105,HUN,KRAJNYAK Zsuzsanna,../../../en/results/wheelchair-fencing/athlete-profile-n1728669-krajnyak-zsuzsanna.htm,WFE, 23 Dec 1978,42.0, Female, A,"English, Hungarian","
 Hungary","2000 for Hungary, Paralympic Games in Sydney, Australia (Athlete, 25 May 2016)","To win a gold medal at the Paralympic Games. (Athlete, 25 May 2016)",,"Her family. (Athlete, 25 May 2016)",,"In 2016, 2017 and 2018 she was named on the Disabled Team of the Year [wheelchair fencing] by the Hungarian Paralympic Committee [MPB]. (hparalimpia.hu, 01 Jan 2018)",
2106,SVK,KRAL Tomas,../../../en/results/boccia/athlete-profile-n1720053-kral-tomas.htm,BOC, 29 May 1989,32.0, Male, BC1,Slovak,"
 Slovakia","2005 for Slovakia, European Championships in Portugal (Athlete, 08 Aug 2012)",,"Slovakian ice hockey player Michal Handzus. (spv.sk, 22 May 2012)","His father. (rozhlas.sk, 26 Aug 2012; Athlete, 08 Aug 2012)",,"He was voted Athlete of the Year in the BC1 category in Boccia Slovakia's 2019 Boccia Player of the Year poll. (boccia.sk, 19 Jun 2020)",
2107,NED,KRAMER Bo,../../../en/results/wheelchair-basketball/athlete-profile-n1708646-kramer-bo.htm,WBK, 15 Sep 1998,22.0, Female, 4.5,"Dutch, English, German","
 Netherlands","2014 for Netherlands, World Championships in Toronto, Canada (Athlete, 22 Jul 2016)",,,,"""You don't need a hero, just go out and create one yourself."" (papendal.nl, 06 Apr 2017)","She was named the 2019 Paralympic Athlete of the Year in Almere, Netherlands. (onsalmere.nl, 13 Feb 2020)",
2108,SUI,KRATTER Elena,../../../en/results/athletics/athlete-profile-n1521542-kratter-elena.htm,ATH, 5 Jul 1996,25.0, Female, T63,"English, German","
 Switzerland",,,,,"""Summer athletes are made in winter."" (elenakratter-blog.ch, 27 May 2018; swissparalympic.ch, 01 Jan 2021)","She won the 2009 Zurich Newcomer Award in Switzerland. (velostuderus.ch, 16 Jul 2012)","She had a knee injury while competing at the 2019 World Para Alpine Skiing Championships in Slovenia and Italy. (Instagram profile, 31 Jan 2019)"
